"method","V2","V3","V4"
"PC","1.49809092493715","1.20774922630221","0.915129918911"
"RES_STOREY","0.91209935728513","0.738415602769215","0.518747281308115"
"PC_midp","0.918495580531427","0.743245403730228","0.563363560436787"
"STOREY_RANDOM","0.917370709745809","0.743397868101997","0.562855128380821"
"PC_RANDOM","0.912754566059946","0.720600960610032","0.507130616959027"
"STOREY","1.424","1.112","0.824"
"PC","1.49955389811663","1.21474130155827","0.917514701371967"
"RES_STOREY","0.892377498499692","0.694451692435222","0.527913096318531"
"PC_midp","0.907470775743701","0.739919240708001","0.568551685901361"
"STOREY_RANDOM","0.906150836567106","0.740348803646288","0.567058438839839"
"PC_RANDOM","0.886857325221684","0.698030802700026","0.514795323183458"
"STOREY","1.44","1.18","0.84"
"PC","1.52081659206858","1.24507131412477","0.922066074385562"
"RES_STOREY","0.892136770372606","0.73765585407573","0.532214081714423"
"PC_midp","0.920544991958061","0.757274904500662","0.571089973867132"
"STOREY_RANDOM","0.920079840323227","0.756526485195468","0.572297342572428"
"PC_RANDOM","0.903486738574811","0.732118332501767","0.515733211116678"
"STOREY","1.432","1.14","0.82"
"PC","1.5149505117672","1.19269786310557","0.911573809345261"
"RES_STOREY","0.927444263933987","0.723275483972936","0.509255477754922"
"PC_midp","0.927978422421755","0.727497856699441","0.556259409448977"
"STOREY_RANDOM","0.927443032864967","0.725789628260547","0.556474307891211"
"PC_RANDOM","0.925100027553047","0.700575935342257","0.490477592897351"
"STOREY","1.448","1.132","0.82"
"PC","1.51013054723128","1.2046302863785","0.912168473253701"
"RES_STOREY","0.910451830855461","0.719814984442893","0.516729369979411"
"PC_midp","0.910046752865495","0.73661513764002","0.563324350322405"
"STOREY_RANDOM","0.907524571372317","0.736547289929649","0.561375874593025"
"PC_RANDOM","0.9035976609808","0.703365981040515","0.494721474074781"
"STOREY","1.428","1.156","0.86"
"PC","1.50277173021762","1.22238980049763","0.93014071775311"
"RES_STOREY","0.886394389383559","0.73988143799723","0.541192932924104"
"PC_midp","0.904234659335293","0.74661374941172","0.571279054883021"
"STOREY_RANDOM","0.901213831133268","0.743073361874595","0.572184303232968"
"PC_RANDOM","0.873955532723363","0.714297532213507","0.516237355702707"
"STOREY","1.488","1.18","0.844"
"PC","1.54825721498632","1.25078594924147","0.928306914150748"
"RES_STOREY","0.928159775661104","0.764817160656329","0.540701457794525"
"PC_midp","0.935346732355575","0.776104589005598","0.57412118916381"
"STOREY_RANDOM","0.936241040569227","0.776482355968484","0.572705895719392"
"PC_RANDOM","0.932721124758971","0.772958637304369","0.529036533530042"
"STOREY","1.452","1.148","0.884"
"PC","1.50519421897648","1.2321588855973","0.948809058438538"
"RES_STOREY","0.910610236694658","0.728391517325504","0.573444777428842"
"PC_midp","0.912652130391398","0.751046943675879","0.595776756907984"
"STOREY_RANDOM","0.913561242460732","0.749753641990085","0.595056245136133"
"PC_RANDOM","0.910223385288635","0.7167126550186","0.559270608885901"
"STOREY","1.436","1.152","0.884"
"PC","1.4970671517714","1.22216429644489","0.95067964633002"
"RES_STOREY","0.908292091648777","0.734414418856959","0.55680101450918"
"PC_midp","0.913036411144543","0.745023583602436","0.587481134456728"
"STOREY_RANDOM","0.916715494866307","0.744054951681559","0.588619809738508"
"PC_RANDOM","0.896824362991891","0.721514309406838","0.528528177627654"
"STOREY","1.46","1.168","0.86"
"PC","1.52644889836757","1.22779953504075","0.925576626242504"
"RES_STOREY","0.923931930158025","0.744443288438331","0.553789566199905"
"PC_midp","0.928048062576177","0.752914174909857","0.572638528308988"
"STOREY_RANDOM","0.928051024558789","0.752328840254757","0.571813170902098"
"PC_RANDOM","0.924194919773425","0.72057968823499","0.533754322340264"
"STOREY","1.384","1.144","0.836"
"PC","1.47579857102096","1.23089136004972","0.916773630681951"
"RES_STOREY","0.871589335645915","0.725826980140579","0.536661991513512"
"PC_midp","0.895055129826312","0.754358599417893","0.566994077271546"
"STOREY_RANDOM","0.89481870448905","0.754264304427567","0.566320522706608"
"PC_RANDOM","0.870740598251408","0.728995800161172","0.523845668589051"
"STOREY","1.504","1.104","0.864"
"PC","1.55833497972631","1.19987972852193","0.932116035433948"
"RES_STOREY","0.952849980601601","0.697657012629644","0.558293424376359"
"PC_midp","0.944898898498034","0.730520791777781","0.586571840691547"
"STOREY_RANDOM","0.947894888632608","0.727693036932216","0.585931290593218"
"PC_RANDOM","0.942152277291592","0.689154168878184","0.550249042726125"
"STOREY","1.444","1.188","0.828"
"PC","1.50853814882046","1.24708144573567","0.911151963294119"
"RES_STOREY","0.913479836576483","0.761455033308815","0.520573093533258"
"PC_midp","0.918038009764152","0.769295729179092","0.562946270311184"
"STOREY_RANDOM","0.91793784221972","0.769067747831168","0.56516043579341"
"PC_RANDOM","0.915468512970781","0.748713660394901","0.52596343616819"
"STOREY","1.444","1.072","0.876"
"PC","1.5094351662692","1.17642944439542","0.947660380034508"
"RES_STOREY","0.905099505030396","0.668111199287846","0.566550863685744"
"PC_midp","0.908628628893081","0.709303771228555","0.593880840958518"
"STOREY_RANDOM","0.906593424665173","0.709240703089732","0.594248901323282"
"PC_RANDOM","0.888881270117765","0.65014004452278","0.54519749592748"
"STOREY","1.472","1.152","0.864"
"PC","1.52918437659854","1.22555773785095","0.947025663380023"
"RES_STOREY","0.926798554141862","0.734221086566514","0.542054677258942"
"PC_midp","0.919602402245961","0.748694547366799","0.586444255941216"
"STOREY_RANDOM","0.918293128229826","0.749544637837961","0.587683860585369"
"PC_RANDOM","0.923252195360329","0.71963394117175","0.539569854828978"
"STOREY","1.428","1.156","0.908"
"PC","1.51021013441699","1.22842634738552","0.959195760237744"
"RES_STOREY","0.903905849406543","0.748745435898443","0.58705301178294"
"PC_midp","0.917301641116418","0.760917279421974","0.594738647027755"
"STOREY_RANDOM","0.915785370475383","0.761973811986433","0.59511721006396"
"PC_RANDOM","0.901521714946195","0.742478031471039","0.559186778007759"
"STOREY","1.488","1.192","0.828"
"PC","1.53837361926404","1.2605707755802","0.916712033423843"
"RES_STOREY","0.941315766395514","0.755756134132244","0.522623473283878"
"PC_midp","0.942662743641107","0.77304461155528","0.568726882386866"
"STOREY_RANDOM","0.944674074560588","0.771867257783928","0.566827630770252"
"PC_RANDOM","0.933987816912591","0.755701987970709","0.524538081364119"
"STOREY","1.408","1.088","0.848"
"PC","1.48203158094812","1.1709018197371","0.928621607054022"
"RES_STOREY","0.872798497980033","0.686425801429601","0.546076012535519"
"PC_midp","0.890213162531163","0.714209978276435","0.57815770913058"
"STOREY_RANDOM","0.890266690141141","0.714206592642058","0.577550454024431"
"PC_RANDOM","0.860220933738213","0.692333768640941","0.549902076030407"
"STOREY","1.48","1.14","0.864"
"PC","1.5430256287659","1.20824932032653","0.940323496411701"
"RES_STOREY","0.928156749404696","0.716244251340925","0.554361512434461"
"PC_midp","0.935263878283777","0.734863573776003","0.580930807226651"
"STOREY_RANDOM","0.933569912642657","0.737352369192632","0.58148856093644"
"PC_RANDOM","0.919792355648112","0.705948497364282","0.551400267204211"
"STOREY","1.432","1.144","0.884"
"PC","1.50613300630467","1.2222112920281","0.958566895225202"
"RES_STOREY","0.894688880224705","0.738449547315023","0.569050915541864"
"PC_midp","0.908038396279365","0.763455812970463","0.60483028423578"
"STOREY_RANDOM","0.905815776767059","0.763789815578433","0.600947443580604"
"PC_RANDOM","0.890744737739222","0.742003094478115","0.554608974553515"
"STOREY","1.432","1.096","0.844"
"PC","1.50426473471045","1.18020309707542","0.922296716472777"
"RES_STOREY","0.897999522573061","0.698418047894915","0.54939612758219"
"PC_midp","0.91250702283006","0.722180136993056","0.578739209333908"
